Id Estado;Estado;Material;Tipo material;Texto breve de material;Centro área pl.nec.;Almacén;Ubicación;Caract.planif.nec.;Punto de pedido;Cálculo de tamaño de lote;Stock alm.máx.;Libre utilización;Libre Utilización Área;Stock de seguridad;Stock en Curso;Cantidad Pendiente en SolPed;Grupo de compras;Denominación GrpComp;Valor total;Nombre Fabricante;Numero Pieza de Fabricante;Rubro;SubRubro;Embalar;Peso bruto;Peso neto;Unidad de peso;Volumen;Plazo entrega prev.;Valor libre utilización;Moneda valor libre utilización;Menor a PP;Stock nulo;Mayor a PP;Mayor a Stock Maximo;Menor a PP area;Stock nulo area;Mayor a PP area;Mayor a Stock Maximo area
3;03-MAYOR A PUNTO DE PEDIDO;1003144;ZSTO;FILTRO HIDRAULICO PILOTO;U365;0365;;V1;3;HB;5;4;0;0;0;0;F07;FILTRO FLUIDO HIDR;157065,08;VOLVO CONS;14711981;FILTROS;VOLVO EC300D;9-FRAGIL;0,06;0;KG;113,04;30;157065,06;;;;1;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003148;ZSTO;FILTRO DE LINEA COMBUSTIBLE;U365;0365;;V1;1;HB;2;2;0;0;0;0;F06;FILTRO COMBUSTIBLE;19440,56;BOMAG GMBH // DONALDSON;5727894 // P550012;FILTROS;BOMAG BW100 AD-10;8-VARIOS;0,05;0;KG;275;30;19440,55;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003161;ZSTO;FILTRO DE RETORNO;U365;0365;;V1;3;HB;5;1;0;0;0;0;F07;FILTRO FLUIDO HIDR;132048;PALFINGER // HIFI FILTE // HIFI FILTE // MAHLE FILT //;EA5811 // SF FILTER HY9784‑SET // SH55186 // D176945RN2010V17 // MDH8165;FILTROS;PALFINGER PK23500B (S406-SKA);8-VARIOS;0,33;0;KG;1280;20;132048;;1;;;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003162;ZSTO;FILTRO EN LINEA DE PRESION;U365;0365;;V1;2;HB;3;1;0;0;0;0;F07;FILTRO FLUIDO HIDR;136174,5;PALFINGER;EA4923;FILTROS;PALFINGER PK23500B (S406-SKA);8-VARIOS;0,3;0;KG;864;20;136174,5;;1;;;;;;;
3;03-MAYOR A PUNTO DE PEDIDO;1003164;ZSTO;FILTRO DE BOMBA SIST. UREA;U365;0365;;V1;2;HB;3;2;0;0;0;0;F09;FILTRO DE UREA;41894,62;VOLVO CONS;20877958;FILTROS;VOLVO 330;9-FRAGIL;0,03;0;KG;0,006;15;41894,62;;;;1;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003167;ZSTO;FILTRO TRAMPA DE AGUA;U365;0365;;V1;2;HB;2;1;0;0;0;0;F13;FILTRO TRAMPA DE A;126662,25;CATERPILLA;4395037;FILTROS;CHIEFTAIN 2100 X;7-PESADO;1,08;0;KG;3600;15;126662,25;;1;;;;;;;
2;02-MENOR A PUNTO DE PEDIDO;1003169;ZSTO;FILTRO TRAMPA DE AGUA;U365;0365;;V1;2;HB;3;1;0;0;0;0;F13;FILTRO TRAMPA DE A;43079,49;SUDAMERICA // //;24226451 // 22752360 // 24226451;FILTROS;VOLVO 330;9-FRAGIL;0,17;0;KG;1100;15;43079,49;;1;;;;;;;
4;04-MAYOR A STOCK MAXIMO;1003170;ZSTO;FILTRO DE AIRE PRIMARIO;U365;0365;;V1;3;HB;5;6;0;0;0;0;F04;FILTRO AIRE;97002,66;FLEETGUARD // // FILPLUS;AF26085 // FAI6085 // MSA26085;FILTROS;FILTRO AIRE;9-FRAGIL;0,49;0;KG;4752;15;320140,49;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003171;ZSTO;FILTRO DE AIRE SECUNDARIO;U365;0365;;V1;3;HB;5;6;0;0;0;0;F04;FILTRO AIRE;561024;FLEETGUARD // FILPLUS;AF26086 // MSA26086;FILTROS;FILTRO AIRE;9-FRAGIL;2,1;0;KG;16000;15;751827,6;;;;;1;;;;
4;04-MAYOR A STOCK MAXIMO;1003172;ZSTO;Filtro Aceite Motor;U365;0365;;V1;3;HB;5;11;0;0;0;0;F03;FILTRO ACEITE;0;FLEETGUARD // DONALDSON // DONALDSON;LF16011 // P550335 // P551132;FILTROS;CAT 950;7-PESADO;0,29;0;KG;452,16;15;55616,11;;;;;1;;;;
